Gene	mean_raw_r_sq	best_raw_r_sq	mean_rmse	min_rmse	cor_value_R2_RMSE	cor_pvalue	cor_padj_BH	RMSE	R_squared
ENSG00000060237.19	0.0931934115674127	0.0668585319500423	0.430049649549048	0.386187314208179	-0.57358645584122	0.0829796532682358	0.655432879220103	0.391559295160555	0.109740545580791
ENSG00000060339.14	0.0319544266978472	0.0362145109964487	0.277559404880381	0.224895358270687	0.324975511144018	0.359554277655166	0.875110840295592	0.223001131348446	0.114627058637038
ENSG00000070366.14	0.171901542483834	0.0837375108336902	0.450918213728463	0.359161998788579	0.150090726687113	0.678973318787228	0.958213549886454	0.417787298568353	0.145833379480307
ENSG00000070444.15	0.0462388914262908	0.0353882945975134	0.315819540478336	0.243666080401113	-0.00768185743332507	0.983196928452946	0.998938949831705	0.205658649271276	0.176162927354952
ENSG00000072134.16	0.112490721527587	0.0540800818015741	0.527580517924538	0.454820798738508	0.0850430229749134	0.815307998274765	0.981423532543006	0.457770995555865	0.15295683033762
ENSG00000075975.17	0.0976536269894958	0.142590059434406	0.386978374987093	0.349777006576927	0.360088425074396	0.306741166501935	0.852807236305408	0.310572532156501	0.176115683477381
ENSG00000076928.20	0.0605203434634493	0.184300014458757	0.43852866216394	0.374699120186125	-0.070317828780969	0.846938074899449	0.986067398390811	0.451933253766995	0.112162883717416
ENSG00000085382.12	0.0561535495423296	-0.0322292218511782	0.484535916013439	0.413403144117386	0.465639790805339	0.175015692060108	0.76739993037554	0.382982542153744	0.150179818352115
ENSG00000096070.19	0.0782433186720846	0.15054475866946	0.43001857369803	0.349055817106177	0.0634038136944516	0.861860377305847	0.987886893501083	0.309487739231705	0.144273573375886
ENSG00000105755.8	0.00621998019005752	-0.0628231678375326	0.424068044756298	0.374343460173123	0.156307365242183	0.666309734810169	0.954734960629131	0.42356511714596	0.105704510711244
ENSG00000109606.13	0.0906968111523718	0.125683152571552	0.308041670107695	0.257990719182079	-0.35257861273782	0.317672077998349	0.856596704296581	0.265225853925858	0.126751401221622
ENSG00000110844.14	0.0382032971983766	0.0692429504448954	0.446939125903249	0.383562047593018	-0.426964413334083	0.218464440240864	0.796646552515663	0.299714727825847	0.16606384158221
ENSG00000111145.8	0.0347546081817176	-0.0238110978179928	0.44056896831782	0.396859641029878	0.583080829219733	0.0768571007003793	0.64551700697087	0.420080124357854	0.148939357909666
ENSG00000112561.19	0.00941554845331019	0.0984062548285699	0.55070184321964	0.463756419985478	-0.0327376781287205	0.928463032100792	0.994720925482559	0.531815138121535	0.100406109693489
ENSG00000112640.16	0.115281918586452	0.0878608023081945	0.385170027587001	0.314476761982391	-0.296509374257291	0.405465361641802	0.893051496206552	0.331108011187775	0.109324022570084
ENSG00000113282.14	0.0865160086836805	0.0885349181554052	0.346898253295519	0.312914761480269	-0.204636530240437	0.570636814987187	0.936521836302965	0.351956694831119	0.105092737693008
ENSG00000121577.14	0.0107077376284984	-0.120449344325489	0.503945522541191	0.449273850120267	0.27817830970786	0.436427725066517	0.903652804415672	0.621789051572859	0.126268574708198
ENSG00000121797.10	-0.0160186488987748	-0.0612034276608939	0.639670897092253	0.475516007731591	-0.028135530276586	0.93850222506764	0.994776664525783	0.777323941331104	0.113298060320535
ENSG00000124091.10	0.00304110460531748	0.0841667196266177	2.03915350590872	0.787900379154239	0.532763685874652	0.11284193214579	0.696559595386062	2.72101568127238	0.101166934051093
ENSG00000124549.17	0.0379004678832078	-0.0232511222880114	0.602629967616112	0.564424162887476	0.293381068026064	0.410673462364218	0.894169378640407	0.635852516536172	0.176047439262194
ENSG00000129317.15	0.0953238373966391	0.032442610468249	0.412498866439969	0.350889083013242	0.17503642775256	0.628624696770445	0.949067912070219	0.278930509435944	0.146224390456961
ENSG00000131165.16	0.0588607392186212	0.0692396031984401	0.396269086026961	0.332824048392022	-0.0742664634527542	0.838435187548784	0.985609440185019	0.187563935605908	0.106382187378116
ENSG00000131781.13	0.0478006440822124	0.0876050095984688	1.13306553836141	0.964614047385844	0.18907669540083	0.600866647637857	0.944378036042901	0.570977387586431	0.127806156835382
ENSG00000132155.14	0.10557535476525	0.0959554996187204	0.420238729354148	0.330285897300126	0.423237799344866	0.22294749150738	0.800125927866227	0.48786158990705	0.115258053647373
ENSG00000144674.19	0.126990361258131	0.10534577694378	0.447147556455401	0.358551383901392	-0.431340029221	0.213267072848641	0.792838551391932	0.347113760972848	0.12512463661877
ENSG00000146122.17	0.0292939600981766	0.13266561063218	0.647243724900755	0.507761571657824	-0.636262101025308	0.0479585371522673	0.577252047912211	0.521447706174883	0.111038163126407
ENSG00000151718.16	0.076858410085653	0.12202712706017	0.825516106687969	0.696169264509617	-0.81258070957265	0.00427626250953896	0.256914853506418	0.479784433584237	0.160589176526068
ENSG00000154822.18	0.00293553601145765	-0.00764975161912251	0.718489005818158	0.595565327414032	0.200224002064508	0.579150536077323	0.938293843719237	0.608967781456527	0.109897659540136
ENSG00000156298.13	-0.0186992933209635	-0.0231642794980873	0.946925532149781	0.891441593845102	0.331542524069503	0.349350356965551	0.870982313797326	0.643477870494289	0.100361450107545
ENSG00000158481.13	0.00306194638512155	-0.0163959636223177	1.5487245195392	1.27558722232404	-0.216530653842558	0.547929268267971	0.933000176167655	0.982322202080716	0.115592563354364
ENSG00000158805.12	0.019091416329452	0.0984818339396747	0.488925866442243	0.38112627526016	-0.508736794026356	0.133191117983035	0.720844284224737	0.325547632469294	0.128577612688908
ENSG00000163116.10	0.00253501624322817	-0.307228964523852	2.89723782718581	1.10285224954092	0.737158105849203	0.0149893019916013	0.426742409720621	2.64953674107066	0.125006464513372
ENSG00000164118.13	0.0479142097793503	0.120915539480975	0.381507413840789	0.349250889324986	-0.291279817770819	0.414189372589811	0.896466570827007	0.281896786310812	0.126947146007763
ENSG00000166478.10	0.0601383479900445	0.0289584242579574	0.237322641036925	0.205489353856359	-0.241461122436444	0.501537126161639	0.921550357045873	0.173287457515499	0.105079438033966
ENSG00000166925.9	0.0721832418016793	0.0575969104157844	0.436913003077319	0.33798339153638	0.603147573289139	0.0648989988536365	0.620467800155752	0.276021977247234	0.143132727019188
ENSG00000167508.12	0.0460318456334438	0.0912949676701706	0.66918023119586	0.57569454623931	-0.703188095489153	0.0232933328661781	0.485814715434123	0.316100988349146	0.139483839328817
ENSG00000167985.7	0.123959206299898	0.117800413619773	0.354525301032396	0.299496473996985	-0.112983335917764	0.755979802987114	0.972907456895981	0.294186067115137	0.123176607265534
ENSG00000168970.22	0.0935581114898067	0.0546876822973867	0.696740623564165	0.609373586188755	-0.128429771478368	0.723648079997055	0.965754766501817	0.669165093117957	0.104646781875716
ENSG00000171135.15	0.0721763019527138	0.133068119703471	0.332598662439311	0.260539911015813	-0.463763692932964	0.176993748535044	0.76796950054371	0.248188827864895	0.116071890093374
ENSG00000171988.20	0.120517351924307	0.0546403098842602	0.458380829765378	0.375598054977156	0.475324664402091	0.165014200450829	0.759720721220883	0.370948212213666	0.13447379567757
ENSG00000173473.11	0.0407729826759099	-0.0058719246839678	0.375896448290042	0.33127419457328	-0.10419764854457	0.774526260368361	0.976553830874979	0.344700565801212	0.101579384824181
ENSG00000174953.14	0.0950962004100879	0.171066352715739	0.325960532515847	0.266191498149333	-0.163397771123062	0.651958508201797	0.951962558840346	0.250276280559659	0.11525550798702
ENSG00000176022.7	0.0222689522451383	0.0491912025022474	0.416629799306417	0.355286461047039	-0.527933557910239	0.11676482660677	0.699317216874025	0.303065638740649	0.11107815908966
ENSG00000178188.16	0.0500667959598246	0.0835987769518488	0.449159905834686	0.391328938826866	-0.299792893140163	0.400032941190177	0.891164572050611	0.244049257369952	0.100036351491453
ENSG00000178852.16	0.0775724817102871	0.131309042029782	0.693545768369495	0.644758482945093	0.465936663447698	0.174703894801271	0.76739993037554	0.427598798750694	0.123089294792445
