file_id	filename	md5sum	submitter_id	case_id	case_submitter_id
05f2a6aa-5f9c-4b26-a8af-acc23aecc58a	b161c26d-64b1-4e03-94da-4f9b9de25e88.rna_seq.genomic.gdc_realn.bam	537a7b7876a241587190a3c90f9fe111	ce4842d0-e350-42a7-87b7-ad57ce6f60cb	N/A	N/A
8c9539ae-c073-4f45-a5fb-a64ab3d87d9c	85caaa0e-2811-46d2-b934-d9f9f006afc6.rna_seq.genomic.gdc_realn.bam	8038f924d3f6f395b9a19d0a224a81a6	e21a1fe8-45ce-424f-8578-3d0e82544508	N/A	N/A
92226d64-8d82-4d4a-b8e8-a31b7fe25e0c	187f14ba-0002-4f99-9eb1-af93cbfdd4c2.rna_seq.genomic.gdc_realn.bam	131239469bdc7e0f1de7dad6eedd072e	eb6cea03-8ec7-475b-8a5d-b86f89f2b5e7	N/A	N/A
7f410c54-dfb4-4b17-b977-cdb31d0049e8	828c9648-f725-4d7e-ad37-e33692e2c67f.rna_seq.genomic.gdc_realn.bam	7293ee636b6986e586028ea17b32d90a	14b33782-97b5-421b-8efa-a2974faa5c93	N/A	N/A
914ca9d8-5d53-48e7-b9d6-0550431527e1	73729b89-4802-4780-9e7f-cb160a04bb17.rna_seq.genomic.gdc_realn.bam	a400cc7c9b54697c3db0e7c25c4154ee	4cf62224-e75e-44b8-88dc-c9cc5226abb1	N/A	N/A
6c85ede5-9873-4acb-bdc4-dadd937959ef	304b7293-0a76-4028-9a18-58c87c751ceb.rna_seq.genomic.gdc_realn.bam	d19e793606cb6878e9a94a79202a51e1	5b9c0f97-c0d3-40dd-8086-2289a659746e	N/A	N/A
31fc01b1-5780-477b-b31f-4a4e6fd1f21c	b4aad532-f92b-43d9-820c-f3c98e382225.rna_seq.genomic.gdc_realn.bam	daaadd2ebd6e406e309c1e4584092dbb	a5f6266b-c511-48d6-8ce0-211788596a89	N/A	N/A
063401e8-504e-4b55-8a17-e07a76dd6f6f	5a277308-f1bc-47b3-a397-aeabe9db8dc6.rna_seq.genomic.gdc_realn.bam	b1444c8795a6ef673b6888e83d8c596c	6b8d6476-1261-40a7-b650-58d8c96b5218	N/A	N/A
60bd409e-75cd-4026-91de-373b718e0a9f	1a2bc49d-edc6-4b84-88f0-73b6ed250d1b.rna_seq.genomic.gdc_realn.bam	46863850a5156e5f54b668d74c475deb	bed6717a-2b48-4c8c-af16-85dccdc0a5bf	N/A	N/A
fe16fd4e-53c7-44af-8289-446d043a3f87	a7428d3b-f84b-4c2f-a996-14a11af6b6df.rna_seq.genomic.gdc_realn.bam	5f12c9140658b06dca5d913682187ca1	03067f39-1682-4759-af39-2b78a26c7383	N/A	N/A
