Gene	Term	Estimate	StdError	tvalue	PrGTt	Significance
ENST00000504719.7	(Intercept)	-84.8885747252095	53.6115788686361	-1.583400013889	0.115395193006559	
ENST00000504719.7	`127818899:127818901`	-15.7396821089652	15.2558078298157	-1.031717381639	0.303832651862035	
ENST00000504719.7	`127882061:127882063`	0.620451848893991	18.4669738868739	0.0335979166210334	0.973241574914401	
ENST00000504719.7	`128100979:128100981`	6.16732597635118	4.59061238138686	1.34346476329765	0.181110721324869	
ENST00000504719.7	`127803149:127803151`	-10.1922332729773	26.4240973533376	-0.385717367624288	0.700241775846588	
ENST00000504719.7	`128082752:128082754`	-10.6379656219756	10.2984484371868	-1.03296779965056	0.303248991745045	
ENST00000504719.7	`127854727:127854729`	-18.9161573015384	22.2724526877735	-0.849307328955398	0.39703725206674	
ENST00000504719.7	`128069068:128069070`	16.5686120162148	7.72964694447515	2.14351472133632	0.0336522947247219	*
ENST00000504719.7	`128099369:128099371`	-3.26620392927416	6.5060512376397	-0.502025546675388	0.616371254834466	
ENST00000504719.7	`128031057:128031059`	-20.1736696033729	9.12685674184005	-2.21036334567313	0.0285644815591354	*
ENST00000504719.7	`127855154:127855156`	12.4507061800705	18.1750863114695	0.685042478847179	0.494353632963479	
ENST00000504719.7	`128031958:128031960`	14.9618833295423	8.61397817650234	1.73693072155163	0.0844119790617677	
ENST00000504719.7	`128074072:128074074`	-12.2861515405236	24.6201123101557	-0.499029061514705	0.618475664503278	
ENST00000504719.7	`127816827:127816829`	35.8032384342918	21.074804224369	1.6988645803358	0.091377192449121	
ENST00000504719.7	`127851933:127851935`	-0.473934152976149	17.1368811179944	-0.0276557997755204	0.977972716709626	
ENST00000504719.7	`127932464:127932466`	-15.3115455743128	10.9846071737945	-1.39390925247112	0.165366197836298	
ENST00000504719.7	`128070161:128070163`	-15.3922638690255	8.50906724089459	-1.80892493069631	0.0724259970421867	
ENST00000504719.7	`128070159:128070161`	2.59627457347695	11.1926758579322	0.231961919243554	0.816877554430736	
ENST00000504719.7	`127890588:127890590`	8.0443205979173	7.14007789783006	1.12664325418103	0.261657288400518	
ENST00000504719.7	`128049584:128049586`	-59.1868643049556	40.9961230691407	-1.44371857322059	0.150862640802723	
ENST00000504719.7	`128096517:128096519`	-1.55866069520767	8.75259503105022	-0.178079836857327	0.858895841329198	
