V1	127854422:127854424	128074290:128074292	128095816:128095818	127795293:127795295	127940453:127940455	128096653:128096655	127882184:127882186	128032271:128032273	127969536:127969538	128027754:128027756	128049440:128049442	127939675:127939677	127932473:127932475	127996597:127996599	128082847:128082849	127890997:127890999	127995092:127995094	127852346:127852348	127984203:127984205	127795534:127795536	127803558:127803560	127932197:127932199	128010443:128010445	128049747:128049749	128070360:128070362	127989290:127989292	127796007:127796009	127998358:127998360	128046711:128046713	128038979:128038981	128009717:128009719	127855318:127855320	127796070:127796072	128048608:128048610	128070271:128070273	128091352:128091354	127794733:127794735	127816883:127816885	128031142:128031144	128099572:128099574	label
05f4836a-8db8-4dbc-a996-090887bf8a64	1	1	0.977272727272727	0.9375	1	0.931818181818182	1	1	1	1	1	1	0.919354838709677	0.735849056603774	0.931818181818182	0.859154929577465	0.952380952380952	1	1	1	0.930232558139535	0.96875	1	1	1	0.91304347826087	0.815789473684211	0.891891891891892	1	1	0.935483870967742	1	1	1	0.925	0.978260869565217	0.967741935483871	1	0.96969696969697	0.975	Control
064d1578-9fb7-439c-9644-d4cb6389ec9d	1	1	0.96551724137931	1	1	0.903225806451613	1	1	1	1	1	1	1	0.769230769230769	1	0.942857142857143	1	1	1	1	0.933333333333333	0.970588235294118	1	1	1	0.896551724137931	0.846153846153846	0.909090909090909	0.96	1	1	1	1	1	0.866666666666667	0.96551724137931	1	1	1	0.931034482758621	Control
078f6959-adcf-44a5-91d2-2581ba3c8e62	1	1	0.961538461538462	0.972222222222222	1	0.795918367346939	1	1	1	1	1	0.942857142857143	0.971830985915493	0.87719298245614	0.96	0.985915492957746	0.966101694915254	1	1	0.897435897435897	0.96078431372549	0.959459459459459	0.936170212765958	1	0.910714285714286	0.90625	0.84	0.944444444444444	1	1	0.962962962962963	1	1	1	0.754716981132076	0.980392156862745	1	1	1	0.88	Control
13daffbb-aa53-44f9-a6ed-5fd43ed37471	1	1	0.86046511627907	1	1	0.846153846153846	1	1	1	1	1	0.978260869565217	1	0.833333333333333	1	0.95	0.945945945945946	1	0.981132075471698	1	1	1	0.96551724137931	1	1	0.875	1	0.966666666666667	1	1	0.951219512195122	1	0.941176470588235	1	0.757575757575758	0.902439024390244	0.966666666666667	1	1	0.821428571428571	Control
1b87d18e-4b47-47d0-a6de-1bb9eedb04c9	1	1	0.948717948717949	1	1	0.926829268292683	1	0.966666666666667	1	0.966666666666667	0.939393939393939	1	0.943396226415094	0.777777777777778	1	0.936170212765958	1	1	1	0.916666666666667	1	1	0.911764705882353	1	1	0.864864864864865	0.896551724137931	0.954545454545455	1	1	0.96551724137931	1	1	0.939393939393939	0.942857142857143	1	1	1	1	0.971428571428571	Control
1dd6852b-2456-4576-9b22-f7604277c955	1	1	0.896551724137931	1	1	0.892857142857143	1	0.966666666666667	1	1	1	0.972972972972973	1	0.807692307692308	0.962962962962963	1	0.923076923076923	1	0.970588235294118	0.928571428571429	1	1	0.935483870967742	1	1	0.923076923076923	0.875	0.838709677419355	0.966666666666667	1	1	1	0.882352941176471	1	0.607142857142857	0.928571428571429	1	1	1	0.925925925925926	Control
217558e4-a5f5-4c72-91b7-b430a17f457a	1	1	0.914893617021277	1	1	0.909090909090909	1	1	1	1	1	1	0.961038961038961	0.864406779661017	0.956521739130435	0.986111111111111	0.928571428571429	1	1	0.979591836734694	1	1	1	1	0.976744186046512	0.915254237288136	0.918032786885246	0.945454545454545	1	1	1	1	1	1	0.791666666666667	0.955555555555556	1	1	0.930232558139535	0.903846153846154	Control
2d1e176a-adc9-4d8a-92cf-5cba5ab8e486	1	1	0.941176470588235	1	1	0.88	1	0.947368421052632	1	1	1	1	0.882352941176471	0.92	1	1	1	1	1	0.928571428571429	1	0.967741935483871	1	1	1	1	0.933333333333333	0.958333333333333	1	1	0.952380952380952	1	1	1	0.75	1	0.923076923076923	1	1	0.884615384615385	Control
2e4316d2-5fe5-4ee1-9b22-73f4c42b6202	1	0.984848484848485	0.960526315789474	0.96	1	0.974025974025974	1	0.980769230769231	1	1	1	0.963855421686747	0.952941176470588	0.873015873015873	0.876543209876543	1	0.952380952380952	1	1	1	0.939393939393939	1	0.944444444444444	1	0.96969696969697	0.859154929577465	0.838709677419355	1	0.962962962962963	1	0.983050847457627	1	0.96875	1	0.823529411764706	0.972602739726027	1	1	1	0.974358974358974	Control
316d8a79-9084-4355-9de7-e29503bf0864	1	0.954545454545455	0.92	0.9375	1	0.95	1	1	1	1	1	0.952380952380952	0.956521739130435	0.8	1	0.916666666666667	0.9375	1	1	0.882352941176471	1	1	0.888888888888889	1	1	0.9375	0.882352941176471	0.928571428571429	0.933333333333333	1	0.894736842105263	1	1	1	0.869565217391304	1	1	1	1	0.944444444444444	Control
