	128048447:128048449	127855162:127855164	127882061:127882063	127855154:127855156	127816827:127816829	128070161:128070163	128074069:128074071	128049587:128049589	127818899:127818901	128069068:128069070	128074072:128074074	128095691:128095693	127902455:127902457	128090247:128090249	127932027:127932029	128031057:128031059	128096520:128096522	128080302:128080304	128031958:128031960	127996560:127996562	128096517:128096519	128038916:128038918	127890588:127890590	128049584:128049586	128099369:128099371	128070159:128070161	127932052:127932054	127819908:127819910	127803149:127803151	127851933:127851935	127998911:127998913	128100979:128100981	127989161:127989163	127881800:127881802	127854727:127854729	127932464:127932466	128082752:128082754	kmeans_labels	hierarchical_labels
676cce88-9f6e-4490-8e73-c0e88bd00075	1.0	1.0	1.0	1.0	1.0	0.9090909090909092	0.9444444444444444	1.0	1.0	1.0	0.9444444444444444	1.0	1.0	1.0	1.0	1.0	0.8571428571428571	1.0	1.0	1.0	1.0	1.0	0.9166666666666666	1.0	0.8823529411764706	0.9090909090909092	1.0	1.0	1.0	1.0	0.8333333333333334	0.6818181818181818	0.9545454545454546	1.0	1.0	1.0	1.0	0	0
eb44c266-8b8f-4012-ad67-f4ac40698391	1.0	0.9666666666666668	1.0	0.9830508474576272	1.0	0.8571428571428571	0.9661016949152542	1.0	0.9523809523809524	0.8181818181818182	0.9661016949152542	0.918032786885246	1.0	0.9333333333333332	0.9824561403508772	0.972972972972973	0.7857142857142857	1.0	0.9	0.8181818181818182	0.8115942028985508	0.945945945945946	0.984126984126984	1.0	0.8478260869565217	0.8780487804878049	0.9824561403508772	1.0	0.9836065573770492	1.0	0.4693877551020408	0.7047619047619048	1.0	1.0	1.0	0.9322033898305084	0.9827586206896552	1	3
0f168687-6f42-4d92-8f91-13efde785a0c	1.0	0.96	1.0	1.0	1.0	0.902439024390244	0.9743589743589745	0.9736842105263158	1.0	1.0	0.9743589743589745	0.9523809523809524	1.0	0.925	1.0	0.9722222222222222	0.7755102040816326	1.0	0.875	1.0	0.8888888888888888	1.0	0.9	0.9736842105263158	0.9333333333333332	0.925	0.9285714285714286	1.0	1.0	1.0	0.42	0.6779661016949152	1.0	1.0	0.96	1.0	1.0	1	3
3ef3fd4b-ed5b-41e1-8096-c573cf609bd3	1.0	0.9090909090909092	1.0	0.967741935483871	1.0	0.967741935483871	1.0	1.0	1.0	0.967741935483871	1.0	1.0	1.0	0.9714285714285714	0.9777777777777776	0.9666666666666668	0.8823529411764706	1.0	0.9666666666666668	0.9666666666666668	0.9230769230769232	1.0	0.8285714285714286	1.0	0.9333333333333332	0.967741935483871	0.9777777777777776	1.0	1.0	1.0	0.6333333333333333	0.5517241379310345	1.0	1.0	1.0	0.9555555555555556	1.0	1	3
343c349a-57ce-4599-8185-3ed2e15c6fdd	0.9714285714285714	1.0	1.0	1.0	1.0	0.8888888888888888	0.9117647058823528	1.0	1.0	0.9696969696969696	0.9117647058823528	0.9428571428571428	1.0	0.967741935483871	1.0	1.0	0.7209302325581395	0.96875	0.8947368421052632	0.8536585365853658	0.7804878048780488	1.0	1.0	1.0	0.8604651162790697	0.9142857142857144	1.0	0.9047619047619048	1.0	1.0	0.7222222222222222	0.68	1.0	1.0	1.0	1.0	0.96875	3	1
40a31ab3-71fa-4f7b-a3b1-22e15ff0f358	1.0	1.0	1.0	1.0	1.0	1.0	0.9583333333333334	0.6538461538461539	1.0	1.0	0.9583333333333334	0.9583333333333334	1.0	1.0	1.0	0.8823529411764706	0.7096774193548387	0.9583333333333334	1.0	1.0	0.92	1.0	0.9411764705882352	0.6296296296296297	0.9230769230769232	1.0	0.96	1.0	1.0	1.0	0.8888888888888888	0.7272727272727273	1.0	1.0	1.0	0.896551724137931	0.9583333333333334	0	1
1bd6dff8-ad21-4a45-b496-2d52ba995e5e	1.0	1.0	1.0	1.0	1.0	0.9069767441860463	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.972972972972973	1.0	1.0	0.8604651162790697	1.0	1.0	0.9375	0.9333333333333332	0.975	0.9523809523809524	1.0	0.975609756097561	0.9069767441860463	0.9848484848484848	1.0	1.0	1.0	0.9487179487179488	0.6666666666666666	1.0	1.0	1.0	0.9705882352941176	0.9666666666666668	0	0
3823e741-c29c-431e-9397-4d16a30ec473	1.0	1.0	1.0	1.0	1.0	0.90625	1.0	1.0	1.0	1.0	1.0	0.945945945945946	1.0	1.0	0.9807692307692308	1.0	0.9444444444444444	1.0	0.9696969696969696	0.9642857142857144	1.0	1.0	0.9655172413793104	1.0	0.9444444444444444	0.90625	0.9807692307692308	1.0	1.0	1.0	0.9	0.8421052631578947	0.975	1.0	1.0	0.9454545454545454	1.0	0	0
dbb3747a-aafe-421c-bb21-84a0b82c6a75	1.0	0.9865771812080536	1.0	1.0	0.993421052631579	0.9140271493212668	1.0	1.0	0.9808917197452228	0.9903846153846154	0.9883720930232558	0.9388888888888888	1.0	0.9651162790697676	0.958139534883721	0.9692307692307692	0.7973568281938326	0.9824561403508772	0.9696969696969696	0.9554140127388536	0.9095238095238096	1.0	0.9627329192546584	1.0	0.9441624365482234	0.9411764705882352	0.976303317535545	0.9933333333333332	1.0	1.0	0.7621951219512195	0.8212765957446808	1.0	1.0	1.0	0.971830985915493	0.9939024390243902	0	3
4796719b-2fa2-40ee-9fa9-6a8caa703823	0.9361702127659576	0.9761904761904762	1.0	1.0	1.0	0.9772727272727272	1.0	1.0	1.0	0.9772727272727272	1.0	0.9574468085106383	1.0	0.9361702127659576	1.0	0.9777777777777776	0.7758620689655172	0.9767441860465116	0.9777777777777776	0.9444444444444444	0.8245614035087719	1.0	0.9534883720930232	1.0	0.8363636363636363	0.9772727272727272	0.98	1.0	1.0	1.0	0.8292682926829268	0.6197183098591549	0.9655172413793104	1.0	1.0	1.0	1.0	3	1
